Payment Amount,Budget Period,Agency,Payee
22500,2020,Department of Human Services,ABDI ALI LLC
2775,2020,Department of Human Services,ABDON SARAH MICHELLE
6318.75,2020,Department of Human Services,ABDUR RAZZAQ COUNSELING & SOCIAL ARCH
2795.17,2020,Department of Human Services,ABEL CHIROPRACTIC ASSOC
395,2020,Department of Human Services,ABEL SCREENING INC
4180.97,2020,Department of Human Services,ABELER CHIROPRACTIC
23029.51,2020,Department of Human Services,ABILIT HOLDINGS MEADOW LAKES LLC
5265.63,2020,Department of Human Services,ABILIT HOLDINGS PRAIRIE MEADOWS LLC
333755.06,2020,Department of Human Services,ABILITIES HOME HEALTH CARE LLC
2898469.76,2020,Department of Human Services,ABILITY BLDG CENTER INC
2022235.05,2020,Department of Human Services,ABILITY BLDG CTR LACRESCENT
465526.05,2020,Department of Human Services,ABILITY BUILDING CENTER
13317.63,2020,Department of Human Services,ABILITY CARE CENTER LLC
1653718.97,2020,Department of Human Services,ABILITY CARE PARTNERS INC
768084.96,2020,Department of Human Services,ABLE CARE HOME HEALTH LLC
342598.99,2020,Department of Human Services,ABLE HEARTS HOME INC
6174882.25,2020,Department of Human Services,ABLE INC
3693074.64,2020,Department of Human Services,ABLELIGHT INC
35727.31,2020,Department of Human Services,ABLENET INC
254507.31,2020,Department of Human Services,ABODE HOSPICE CARE OF MINNESOTA
2967002.02,2020,Department of Human Services,ABOUT U INC
193.57,2020,Department of Human Services,ABRA AUTO BODY & GLASS WEST ST PAUL
105709.77,2020,Department of Human Services,ABSOLUTE HOMECARE LLC
2553761.89,2020,Department of Human Services,ABSOLUTE PCA LLC
2857.86,2020,Department of Human Services,ABSOLUTE PEST ELMINATION LLC
372727.33,2020,Department of Human Services,ABSOLUTEKARE LLC
231247,2020,Department of Human Services,ABT GLOBAL LLC
19412.26,2020,Department of Human Services,ACADEMIAS LA PAZ
1201.43,2020,Department of Human Services,ACADEMIC DERMATOLOGY PC
111547.42,2020,Department of Human Services,ACARIAHEALTH PHARMACY 11 INC
1622.58,2020,Department of Human Services,ACCELERATED CHIROPRACTIC &
1474349.62,2020,Department of Human Services,ACCEND SERVICES INC
41242.88,2020,Department of Human Services,ACCENT SENIOR CLUB 1
6660.34,2020,Department of Human Services,ACCENT SIGNAGE SYSTEMS INC
150,2020,Department of Human Services,ACCENTRA CREDIT UNION
3381811.47,2020,Department of Human Services,ACCESS CHILDRENS SERVICES
47088.65,2020,Department of Human Services,ACCESS GROUP HOME LLC
437374.57,2020,Department of Human Services,ACCESS HOMECARE LLC
72870.21,2020,Department of Human Services,ACCESS INDEPENDENT HEALTH SERVS INC
291805.2,2020,Department of Human Services,ACCESS LIFTS INC
309614.2,2020,Department of Human Services,ACCESS MINNESOTA LLC
5363936.84,2020,Department of Human Services,ACCESS NORTH CENTER FOR INDEPENDENT
10602.6,2020,Department of Human Services,ACCESS PRESS
155.6,2020,Department of Human Services,ACCESS RESOURCE
1662147.79,2020,Department of Human Services,ACCESSABILITY INC
713089.91,2020,Department of Human Services,ACCESSABILITY OPTIONS INC
450455.21,2020,Department of Human Services,ACCESSIBILITY DESIGN
1585278.64,2020,Department of Human Services,ACCESSIBLE HOMES LLC
5845974.81,2020,Department of Human Services,ACCESSIBLE SPACE
20223430.6,2020,Department of Human Services,ACCORD
235275.79,2020,Department of Human Services,ACCORD MEDICAL INC
116467520.24,2020,Department of Human Services,ACCRA CARE INC
27129.99,2020,Department of Human Services,ACCRA HOME CARE INC
99856.7,2020,Department of Human Services,ACCRA HOME HEALTH INC
2100,2020,Department of Human Services,ACCREDIATED STANDARDS COMMITTEE X12 INC
2548513.4,2020,Department of Human Services,ACCREDO HEALTH GROUP INC
1929092.4,2020,Department of Human Services,ACCUKARE INC
506,2020,Department of Human Services,ACCURATE CONTROLS INC
199971.08,2020,Department of Human Services,ACCURATE HEALTH SERVICES LLC
11379893.63,2020,Department of Human Services,ACCURATE HOME CARE LLC
4678026.71,2020,Department of Human Services,ACCURATE PCA SERVICES
191359.13,2020,Department of Human Services,ACE HOME CARE LLC
964103.05,2020,Department of Human Services,ACE HOME HEALTH INC
573997.34,2020,Department of Human Services,ACE HOMEMAKER SERVICES INC
88909.64,2020,Department of Human Services,ACE HOMES INC
91523.12,2020,Department of Human Services,ACE OF SOUTHWEST MINNESOTA
4273.93,2020,Department of Human Services,ACE SOLID WASTE INC
35965.36,2020,Department of Human Services,ACET INC
1827054.96,2020,Department of Human Services,ACHIEVE HEALTHCARE LLC
1366.37,2020,Department of Human Services,ACHIEVE RESULTS PHYSICAL
3446299.11,2020,Department of Human Services,ACHIEVE SERVICES INC
983.07,2020,Department of Human Services,ACHIEVE THERAPY & FITNESS
1500953.41,2020,Department of Human Services,ACHIEVING INDEPENDENCE INC
455,2020,Department of Human Services,ACKERMAN ABIGAIL LEE
359209.74,2020,Department of Human Services,ACMAHOMECARE
85.13,2020,Department of Human Services,ACME ELEC MOTOR INC
223.67,2020,Department of Human Services,ACME ELEC TOOL CRIB OF THE
222.8,2020,Department of Human Services,ACME TOOLS                   P
370.85,2020,Department of Human Services,ACME TOOLS G
1339762.52,2020,Department of Human Services,ACR HEALTHCARE SERVICES LLC
24702534.29,2020,Department of Human Services,ACR HOME INC
41810.91,2020,Department of Human Services,ACRE
1875,2020,Department of Human Services,ACRESCAPE LAWN & SNOW CARE INC
7857.5,2020,Department of Human Services,ACTIONABLE INTELLIGENCE TECHNOLOGIES INC
123649.19,2020,Department of Human Services,ACTIVE DAY OF EDINA
12.94,2020,Department of Human Services,ACTIVE LIFE CHIROPRACTIC
131802.04,2020,Department of Human Services,ACTIVE SELFRELIANCE SERVICES
2076174.12,2020,Department of Human Services,ACTIVELY LIVING LIFE INC
7617.15,2020,Department of Human Services,ACTIVEPT CORP
2715194.44,2020,Department of Human Services,ACTIVSTYLE LLC
1710.2,2020,Department of Human Services,ACTRA REHAB ASSOC INC
17126.53,2020,Department of Human Services,ACTRA REHABILITATION ASSOC INC
2021.14,2020,Department of Human Services,ACU CHIROPRACTIC WELLNESS
27549.23,2020,Department of Human Services,ACUMEN COUNSELING SERVICES LLC
1998868.85,2020,Department of Human Services,ACUMEN FISCAL AGENT LLC
2093328.78,2020,Department of Human Services,ACUTE HOME HEALTH CARE OF MN
2319.27,2020,Department of Human Services,ADAMS AREA AMBULANCE
671820.57,2020,Department of Human Services,ADAMS HEALTH CARE CENTER
137262.2,2020,Department of Human Services,ADAMS HEALTH CARE SERVICES
1760262.9,2020,Department of Human Services,ADAPTA
390,2020,Department of Human Services,ADARA
4958287.01,2020,Department of Human Services,ADARA HOME HEALTH INC
18875.65,2020,Department of Human Services,ADEFRIS & TOPPINS WOMENS
1618398.39,2020,Department of Human Services,ADENA LLC
78576.76,2020,Department of Human Services,ADENCARE
1764815.95,2020,Department of Human Services,ADHIKARI BHIM
678.12,2020,Department of Human Services,ADJUST TO HEALTH CHIROPRACTIC
5749070,2020,Department of Human Services,ADMINISTRATION DEPT
545448.87,2020,Department of Human Services,ADMINISTRATIVE HEARINGS
968314.08,2020,Department of Human Services,ADONAI CARE HOMES CORP
3640.67,2020,Department of Human Services,ADRIAN CITY OF               T
30467.01,2020,Department of Human Services,ADRIAN COUNTRY LIVING COTTAGES
9889.76,2020,Department of Human Services,ADT DENTAL LTD DDS
61824.87,2020,Department of Human Services,ADULT CARE LLC
902196.42,2020,Department of Human Services,ADULT CARE SERVICES OF MN INC
247662.07,2020,Department of Human Services,ADULT CHILD & FAMILY SERVICES
641623.49,2020,Department of Human Services,ADULT CLIENT TRAINING SERVICE
370094.27,2020,Department of Human Services,ADULT DAY SERVICES INC
984519.83,2020,Department of Human Services,ADULT LIFE PROGRAMS
312618.1,2020,Department of Human Services,ADULT RESIDENTIAL COMMUNITY
703042.67,2020,Department of Human Services,ADULT TRAINING & HABILITATION
517967.98,2020,Department of Human Services,ADULT TRAINING & HABILITATION WEST
50,2020,Department of Human Services,ADULTS & CHILDRENS ALLIANCE INC
2935354.41,2020,Department of Human Services,ADULTS LIVING WITH CARE INC
448835.43,2020,Department of Human Services,ADVANCE ADULT DAY CARE CENTER INC
94.95,2020,Department of Human Services,ADVANCE CABLE CO LLC
17938.77,2020,Department of Human Services,ADVANCE O & P
1269565.53,2020,Department of Human Services,ADVANCE OPPORTUNITIES
4087.42,2020,Department of Human Services,ADVANCE PHYSICAL THERAPY INC
195238.77,2020,Department of Human Services,ADVANCE THERAPY
82817.39,2020,Department of Human Services,ADVANCED BEHAVIORAL HEALTH
57341.71,2020,Department of Human Services,ADVANCED BIONICS LLC
1309902.43,2020,Department of Human Services,ADVANCED CARE INC
12273.63,2020,Department of Human Services,ADVANCED DENTAL SOLUTIONS
3324.32,2020,Department of Human Services,ADVANCED DERMATOLOGY
1172.65,2020,Department of Human Services,ADVANCED EYE CARE
3697.62,2020,Department of Human Services,ADVANCED EYECARE PLLC
1273.69,2020,Department of Human Services,ADVANCED FAMILY EYECARE
23720.35,2020,Department of Human Services,ADVANCED FOOT & ANKLE CLINIC
3075.05,2020,Department of Human Services,ADVANCED HEALTH
2213810.7,2020,Department of Human Services,ADVANCED HOME CARE INC
41046.85,2020,Department of Human Services,ADVANCED HOME HEALTH CARE LLC
20071,2020,Department of Human Services,ADVANCED MED CLINIC
5527.85,2020,Department of Human Services,ADVANCED MEDICAL OF TWIN
35813.41,2020,Department of Human Services,ADVANCED PAIN MANAGEMENT
7692.19,2020,Department of Human Services,ADVANCED PRACTICE PSYCH SERVICES INC
591922.07,2020,Department of Human Services,ADVANCED RESPIRATORY
10132.5,2020,Department of Human Services,ADVANCED SPECIALTY ASSOICATES LTD
25396.32,2020,Department of Human Services,ADVANCED SPINE & PAIN CLINICS OF MN
626.66,2020,Department of Human Services,ADVANCED TISSUE
10220.74,2020,Department of Human Services,ADVANCEMENTS IN ALLERGY &
14009.66,2020,Department of Human Services,ADVANCEMENTS IN DERMATOLOGY
51163,2020,Department of Human Services,ADVANCING STATES INC
1531.41,2020,Department of Human Services,ADVANTAGE CHIROPRACTIC PLLC
1076.75,2020,Department of Human Services,ADVANTAGE CREDIT BUREAU
417585.38,2020,Department of Human Services,ADVANTAGE HOME HEALTH LLC
5096472.16,2020,Department of Human Services,ADVANTAGE PCA SERVICES INC
166966.15,2020,Department of Human Services,ADVO CARE HEALTH SERVICES CORP
976627.93,2020,Department of Human Services,ADVOCARE
71256.17,2020,Department of Human Services,ADVOCATES FOR REPRODUCTIVE EDUCATION
333896.24,2020,Department of Human Services,ADVOCATES OF CARE HEALTH CARE
186070,2020,Department of Human Services,ADVOCATING CHANGE TOGETHER INC
490946.55,2020,Department of Human Services,ADYC YOUTH LODGE
147.08,2020,Department of Human Services,AE SIGN SYSTEMS
120425,2020,Department of Human Services,AEON
479.2,2020,Department of Human Services,AETNA
34164.81,2020,Department of Human Services,AFFILIATED MED CENTERS PA    W
192.1,2020,Department of Human Services,AFFINITY COMMUNITY HEALTH SERVICES
454454.36,2020,Department of Human Services,AFFINITY HEALTHCARE INC
660,2020,Department of Human Services,AFFINITY PLUS FEDERAL CREDIT
269907.03,2020,Department of Human Services,AFFINITY RESIDENTIAL CARE LLC
134752.17,2020,Department of Human Services,AFFIRMATION HOUSE
3819518.77,2020,Department of Human Services,AFFORDABLE ANGELS INC
11400,2020,Department of Human Services,AFFORDABLE STORAGE SYSTEMS LLC
104646.66,2020,Department of Human Services,AFRICAN COMM SERVICES
55945,2020,Department of Human Services,AFRICAN COMMUNITY SR SERVICES
500,2020,Department of Human Services,AFRICAN IMMIGRANTS PROFESSIONAL DEVELOP
145,2020,Department of Human Services,AFRO AMERICAN DEVELOPMENT ASSOCIATION
1679.39,2020,Department of Human Services,AFRO DELI & COFFEE LLC
3153.48,2020,Department of Human Services,AFRO DELI & GRILL
11038.44,2020,Department of Human Services,AFSA HIGH SCHOOL
2355156.11,2020,Department of Human Services,AFTENRO SOCIETY HOME FOR AGED
72263.87,2020,Department of Human Services,AFTON CARE LLC
1089.39,2020,Department of Human Services,AFTON ROAD DENTAL ASSOC
4927.61,2020,Department of Human Services,AGAMIM CLASSICAL ACADEMY
138979.85,2020,Department of Human Services,AGAN HOME CARE INC
1557576.54,2020,Department of Human Services,AGAPE HEALTHCARE SERVICES INC
2311.98,2020,Department of Human Services,AGATE BAY PROFESSIONALS CHEMICAL HEALTH
1756911.43,2020,Department of Human Services,AGATE HOUSING AND SERVICES INC
1154.93,2020,Department of Human Services,AGE WELL ARROWHEAD INC
105218.1,2020,Department of Human Services,AGELESS CARE INC
32.48,2020,Department of Human Services,AGGARWAL NAVEEN KUMAR
618,2020,Department of Human Services,AGILITI HEALTH INC
42593.06,2020,Department of Human Services,AGILITY ADVANTAGE HOME HEALTHCARE LLC
125183.27,2020,Department of Human Services,AGING SERVICES FOR COMMUNITIES
6531,2020,Department of Human Services,AGISSAR CORP
453830.35,2020,Department of Human Services,AGRATA HOME CARE SERVICES INC
155,2020,Department of Human Services,AGRICULTURE DEPT
3860117.5,2020,Department of Human Services,AICOTA HEALTH CARE CENTER INC
388522.48,2020,Department of Human Services,AIDE HOME CARE LLC
5494.25,2020,Department of Human Services,AIM AXNESS INTEGRATIVE MEDICINE PLLC
1682.8,2020,Department of Human Services,AIN DAH YUNG OUR HOME CENTER
118.13,2020,Department of Human Services,AIRE SERV OF NORTHEASTERN MN
7346.61,2020,Department of Human Services,AIRGAS USA LLC
85,2020,Department of Human Services,AIRLINES REPORTING CORPORATION
28671.84,2020,Department of Human Services,AIRPORT TAXI INC
199.9,2020,Department of Human Services,AITKIN ACUPUNCTURE LLC
1970,2020,Department of Human Services,AITKIN COMM HOSPITAL
58688,2020,Department of Human Services,AITKIN COUNTY CARE INC
3037511.75,2020,Department of Human Services,AITKIN COUNTY TREASURER
765499.3,2020,Department of Human Services,AITKIN DAC
2525322.64,2020,Department of Human Services,AITKIN HEALTH SERVICES
67603.99,2020,Department of Human Services,AITKIN MEDICAL SUPPLY
165303.76,2020,Department of Human Services,AL SHIFA DENTISTRY PA
193721.52,2020,Department of Human Services,ALAAFIA HOMECARE LLC
17010.6,2020,Department of Human Services,ALADDIN TEMP RITE LLC
2034.48,2020,Department of Human Services,ALBANY FAMILY DENTISTRY PA
18530.68,2020,Department of Human Services,ALBERT LEA DME
5923245.86,2020,Department of Human Services,ALBERT LEA MED CENTER        M
160567.15,2020,Department of Human Services,ALBERT LEA PHARMACY
1708.18,2020,Department of Human Services,ALBRIGHT DENTAL INC
3500,2020,Department of Human Services,ALCOHOL & DRUG COUNSELOR COALITION COLOR
17000,2020,Department of Human Services,ALCOHOL & GAMBLING ASSESSMENTS
17.08,2020,Department of Human Services,ALCORTA BRENDA
3417.97,2020,Department of Human Services,ALCOTT MANOR
25074784.19,2020,Department of Human Services,ALDRICH BOARDING CARE HOME
575,2020,Department of Human Services,ALDRICH MEMORIAL NURSERY
1323476.14,2020,Department of Human Services,ALEE SERVICES INC
1005.56,2020,Department of Human Services,ALEGENT HEALTH BERGAN MERCY
1759539.2,2020,Department of Human Services,ALEX HOME CARE INC
2549.38,2020,Department of Human Services,ALEXANDER DENA J
775.84,2020,Department of Human Services,ALEXANDER GLORIA
1528.93,2020,Department of Human Services,ALEXANDRIA CLINIC
32559.54,2020,Department of Human Services,ALEXANDRIA LIGHT & POWER
291426.81,2020,Department of Human Services,ALEXANDRIA OPPORTUNITIES
760172.07,2020,Department of Human Services,ALEXANDRIA OPPORTUNITIES CENTER
34247.46,2020,Department of Human Services,ALEXS TRANSITIONAL HOMES LLC
12.5,2020,Department of Human Services,ALI IBRAHIM
199.22,2020,Department of Human Services,ALIGN CHIROPRACTIC CLINIC
24151.28,2020,Department of Human Services,ALIGN HOME HEALTHCARE & TRANSPORTATION
101575.4,2020,Department of Human Services,ALIMAP HOME HEALTH CARE LLC
5000,2020,Department of Human Services,ALISON
314510.7,2020,Department of Human Services,ALIVECARE SERVICES LLC
402849.67,2020,Department of Human Services,ALIVENESS PROJECT INC
2197032.97,2020,Department of Human Services,ALL ABOUT CARING HOMECARE INC
29206.54,2020,Department of Human Services,ALL ABOUT CHILDREN PEDIATRICS
3283.38,2020,Department of Human Services,ALL EYES PLLC
516734.6,2020,Department of Human Services,ALL FAMILIES HOMECARE INC
780432.52,2020,Department of Human Services,ALL GENERATIONS HOME CARE INC
500,2020,Department of Human Services,ALL GODS CHILDREN METROPOLITAIN COMMUNIT
1339829.9,2020,Department of Human Services,ALL GOOD HOME CARE INC
6743259.37,2020,Department of Human Services,ALL HOME HEALTH INC
604455.07,2020,Department of Human Services,ALL HOPES INC
108003.42,2020,Department of Human Services,ALL NEW DIRECTIONS INC
4766.44,2020,Department of Human Services,ALL SAFE INC
176458.41,2020,Department of Human Services,ALL SEASONS HOME HEALTHCARE
1041498.31,2020,Department of Human Services,ALL STAR HOME HEALTH CARE INC
1795290.33,2020,Department of Human Services,ALL TEMPORARIES INC
74179.38,2020,Department of Human Services,ALL WELCOMING ADULT CARE LLC
4782446.15,2020,Department of Human Services,ALLEGIANCE ABILITY ASSISTANCE LLC
21650,2020,Department of Human Services,ALLEN JOSEPH R
242.55,2020,Department of Human Services,ALLEN OYAAS PATRICIA
290.44,2020,Department of Human Services,ALLEN TEL PRODUCTS INC
4201.33,2020,Department of Human Services,ALLERGY & ASTHMA ASSOC
2135.98,2020,Department of Human Services,ALLERGY & ASTHMA CARE PA M
875.84,2020,Department of Human Services,ALLERGY & ASTHMA CLINIC
19706.82,2020,Department of Human Services,ALLERGY & ASTHMA SPECIALISTS
13044.45,2020,Department of Human Services,ALLERGY & ASTHMA SPECIALTY
1737.44,2020,Department of Human Services,ALLERGY ASSOC OF
2316.39,2020,Department of Human Services,ALLERGY ASTHMA & IMMUNOLOGY
24582,2020,Department of Human Services,ALLFORD INVESTMENTS LLC
936079.28,2020,Department of Human Services,ALLIANCE CLINIC LLC
17147.2,2020,Department of Human Services,ALLIANCE FOR HEALING PA
4370948.88,2020,Department of Human Services,ALLIANCE HEALTH CARE INC
8978765.25,2020,Department of Human Services,ALLIANCE HEALTH SERVICES     F
4807227.02,2020,Department of Human Services,ALLIANCE HEALTH SERVICES     H
840090.25,2020,Department of Human Services,ALLIANCE HHC & NURSING SERVICE
870345.55,2020,Department of Human Services,ALLIANCE HOME CARE SERVICES
6581.4,2020,Department of Human Services,ALLIANCE HOMES
137,2020,Department of Human Services,ALLIANCE INTERPRETING SVCS LLC
938495.12,2020,Department of Human Services,ALLIANCE MED SUPPLY INC
560,2020,Department of Human Services,ALLIANCE OF INFO & REFERRAL SYSTEMS
587848.57,2020,Department of Human Services,ALLIANCE WELLNESS CENTER
400,2020,Department of Human Services,ALLIANCE WELLNESS CLINIC INC
23100,2020,Department of Human Services,ALLIANT CONSULTING INC
590.99,2020,Department of Human Services,ALLIED CHIROPRACTIC PA
2144.1,2020,Department of Human Services,ALLIED HEALTH GROUP
16716,2020,Department of Human Services,ALLINA AHCS SENIORCARE
21387.88,2020,Department of Human Services,ALLINA ANNANDALE CLINIC
733288.49,2020,Department of Human Services,ALLINA BEHAVIORAL HEALTH
37103.46,2020,Department of Human Services,ALLINA COMM PHARM            A
2214,2020,Department of Human Services,ALLINA HEALTH
9421.74,2020,Department of Human Services,ALLINA HEALTH APPLE VALLEY CLINIC
359444.85,2020,Department of Human Services,ALLINA HEALTH BANDANA SQUARE CLINIC
61338.45,2020,Department of Human Services,ALLINA HEALTH BLAINE CLINIC
78470.37,2020,Department of Human Services,ALLINA HEALTH BUFFALO SPECIALTY CLINIC
53695.14,2020,Department of Human Services,ALLINA HEALTH BURNSVILLE CLINIC
52.84,2020,Department of Human Services,ALLINA HEALTH CANCER INSTITUTE RIVER FAL
64565.58,2020,Department of Human Services,ALLINA HEALTH CENTENNIAL LAKES CLINIC
37641.89,2020,Department of Human Services,ALLINA HEALTH CHASKA CLINIC
80039.22,2020,Department of Human Services,ALLINA HEALTH CLINIC BUFFALO CROSSROADS
30339.97,2020,Department of Human Services,ALLINA HEALTH DEAN LAKES CLINIC
135523.66,2020,Department of Human Services,ALLINA HEALTH EAST LAKE CLINIC
2845.87,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC
2237.84,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC BROOKLYN P
1515.55,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC EAGAN
1485.74,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC LAKEVILLE
55.5,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC MAPLE GROV
2643.21,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC NEW HOPE
488.77,2020,Department of Human Services,ALLINA HEALTH EVERYDAY CLINIC PLYMOUTH
1412924.18,2020,Department of Human Services,ALLINA HEALTH FARIBAULT MEDICAL CENTER
40604.45,2020,Department of Human Services,ALLINA HEALTH FLOAT POOL
223317.02,2020,Department of Human Services,ALLINA HEALTH HEART HOSPITAL PHARMACY
31310.34,2020,Department of Human Services,ALLINA HEALTH HIGHLAND PARK CLINIC
4801.28,2020,Department of Human Services,ALLINA HEALTH HOME HEALTH MPLS
1463561.24,2020,Department of Human Services,ALLINA HEALTH HOSPITAL SERVICES
3940.92,2020,Department of Human Services,ALLINA HEALTH IMAGING CENTER EDINA
113124.66,2020,Department of Human Services,ALLINA HEALTH INVER GROVE HEIGHTS CLINIC
23014.45,2020,Department of Human Services,ALLINA HEALTH LAKEVILLE CLINIC
86488.43,2020,Department of Human Services,ALLINA HEALTH MAPLE GROVE CLINIC
259788.24,2020,Department of Human Services,ALLINA HEALTH MENTAL HEALTH - UNITED CLI
50757.71,2020,Department of Human Services,ALLINA HEALTH MERCY GENERAL SURGERY CLIN
177166.83,2020,Department of Human Services,ALLINA HEALTH MERCY WOMENS CLINIC
19590.11,2020,Department of Human Services,ALLINA HEALTH OAKDALE CLINIC
23855.68,2020,Department of Human Services,ALLINA HEALTH ORTHOPEDIC PODIATRY &
51933.56,2020,Department of Human Services,ALLINA HEALTH PLYMOUTH CLINIC
389.47,2020,Department of Human Services,ALLINA HEALTH PRESCOTT CLINIC
3702.42,2020,Department of Human Services,ALLINA HEALTH RIVER FALLS CLINIC
34870.36,2020,Department of Human Services,ALLINA HEALTH SAVAGE CLINIC
43606.26,2020,Department of Human Services,ALLINA HEALTH ST MICHAEL CLINIC
51402.64,2020,Department of Human Services,ALLINA HEALTH SURGICAL SPECIALISTS
193503.6,2020,Department of Human Services,ALLINA HEALTH SYSTEM
